[2025-12-07T18:28:57.400055938] ComandoMsgAllCommand con parametros 'all-asd'
 [2025-12-09T06:18:43.611372379] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T06:18:43.612428470] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T06:18:43.613489831] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T06:19:08.986090608] Comando 'AttackCommand' con parametros 'ataque-Pyron-arco-1'
 [2025-12-09T06:19:39.117587448] Comando 'AttackCommand' con parametros 'ataque-Terron-martillo-0'
 [2025-12-09T06:28:56.522210782] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T06:28:56.525615345] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T06:28:56.527692961] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T06:28:56.529770657] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T06:29:00.514793804] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T06:29:00.516551816] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T06:29:00.517807122] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T06:29:00.519174259] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T06:29:19.053968080] Comando 'SelectPlayerCommand' con parametros 'consultar-1'
 [2025-12-09T06:31:17.367275964] Comando 'PassCommand' con parametros 'pass'
 [2025-12-09T06:31:29.053167819] Comando 'SelectPlayerCommand' con parametros 'consultar-1'
 [2025-12-09T06:34:42.249621245] Comando 'MsgAllCommand' con parametros 'all-asd'
 [2025-12-09T06:34:52.342587098] Comando 'RechargeGunsCommand' con parametros 'recargar'
 [2025-12-09T06:46:13.832417649] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T06:46:13.834087241] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T06:46:13.836023706] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T06:46:13.837572337] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T06:46:18.299541597] Comando 'String' con parametros 'crear-Pyron-fuego-espada-daga-arco-hacha-baston'
 [2025-12-09T06:46:18.301879658] Comando 'String' con parametros 'crear-Aqualon-agua-tridente-red-lanza-escudo-orbe'
 [2025-12-09T06:46:18.303231595] Comando 'String' con parametros 'crear-Terron-tierra-martillo-mazo-hacha-pico-escudo'
 [2025-12-09T06:46:18.304468972] Comando 'String' con parametros 'crear-Ventus-aire-dagas-arco-lanza-espada-shuriken'
 [2025-12-09T06:46:33.945239556] Comando 'AttackCommand' con parametros 'ataque-Pyron-espada-1'
